

Start	2017-06-30 02:52:39	End	2017-06-30 02:52:46	Instance	08D6F647	Method	Reference Method	Msmts	1000	Iterations	500
Globals:	debugLevel=1	maxSwarmSize=1000000	reseedCounter=10000000	minimalExcitement=1.0E-4	logDir=./log	xmlDir=./xml	maxFullHistories=100	noOfBatchFileThreads=8	iniFilename=FlameModel.ini	defaultRandMin=1000	defaultRandMax=10000	defaultMeasurements=100	defaultIterations=500	defaultDimension=3	defaultHistories=10	defaultUseObservable=true
	msmt	iter	FlameClass	F_Row1_real	F_Row1_imag	F_Row2_real	F_Row2_imag	F_absQ	F_size	F_sDim	F_pDim	F_glb exc	F_loc exc[ 1]	F_loc exc[ 2]	F_NullPairsRe[ 0]	F_NullPairsIm[ 0]	F_NullPairsRe[ 1]	F_NullPairsIm[ 1]	F_NullPairsRe[ 2]	F_NullPairsIm[ 2]	F_NullPairsRe[ 3]	F_NullPairsIm[ 3]	F_obR1C1_real	F_obR1C1_imag	F_obR1C2_real	F_obR1C2_imag	F_obR2C1_real	F_obR2C1_imag	F_obR2C2_real	F_obR2C2_imag	F_P0I0	F_P0I1	F_P0I2	F_P0I3	F_P1I0	F_P1I1	F_P1I2	F_P1I3	F_P2I0	F_P2I1	F_P2I2	F_P2I3	F_P3I0	F_P3I1	F_P3I2	F_P3I3	F_R1C1_real	F_R1C1_imag	F_R1C2_real	F_R1C2_imag	F_R2C1_real	F_R2C1_imag	F_R2C2_real	F_R2C2_imag	F_peRow1_real	F_peRow1_imag	F_peRow2_real	F_peRow2_imag	F_evR1C1_real	F_evR1C1_imag	F_evR1C2_real	F_evR1C2_imag	F_evR2C1_real	F_evR2C1_imag	F_evR2C2_real	F_evR2C2_imag	F_ewRow1_real	F_ewRow1_imag	F_ewRow2_real	F_ewRow2_imag
	msmt	iter	FlameClass	F_Row1_real	F_Row1_imag	F_Row2_real	F_Row2_imag	F_absQ	F_size	F_sDim	F_pDim	F_glb exc	F_loc exc[ 1]	F_loc exc[ 2]	F_NullPairsRe[ 0]	F_NullPairsIm[ 0]	F_NullPairsRe[ 1]	F_NullPairsIm[ 1]	F_NullPairsRe[ 2]	F_NullPairsIm[ 2]	F_NullPairsRe[ 3]	F_NullPairsIm[ 3]	F_obR1C1_real	F_obR1C1_imag	F_obR1C2_real	F_obR1C2_imag	F_obR2C1_real	F_obR2C1_imag	F_obR2C2_real	F_obR2C2_imag	F_P0I0	F_P0I1	F_P0I2	F_P0I3	F_P1I0	F_P1I1	F_P1I2	F_P1I3	F_P2I0	F_P2I1	F_P2I2	F_P2I3	F_P3I0	F_P3I1	F_P3I2	F_P3I3	F_R1C1_real	F_R1C1_imag	F_R1C2_real	F_R1C2_imag	F_R2C1_real	F_R2C1_imag	F_R2C2_real	F_R2C2_imag	F_peRow1_real	F_peRow1_imag	F_peRow2_real	F_peRow2_imag	F_evR1C1_real	F_evR1C1_imag	F_evR1C2_real	F_evR1C2_imag	F_evR2C1_real	F_evR2C1_imag	F_evR2C2_real	F_evR2C2_imag	F_ewRow1_real	F_ewRow1_imag	F_ewRow2_real	F_ewRow2_imag
	1	-1	de.bzus.flame.process.PauliFlame	54,00000	-24,00000	24,00000	-40,00000	 5668	3400	2	4	0,94609	0,94609	0,94609	198	202	220	210	199	206	207	176	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	224	202	198	228	233	210	220	216	234	207	199	206	221	219	207	176	40,00000	17,00000	14,00000	-41,00000	12,00000	29,00000	12,00000	-69,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	1	0	de.bzus.flame.process.PauliFlame	65,00000	-3,00000	-3,00000	-7,00000	 4292	2900	2	4	0,05332	0,05332	0,05332	129	137	143	127	168	172	254	232	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	162	137	129	151	143	136	145	127	209	188	168	172	272	275	254	232	51,00000	29,00000	14,00000	-32,00000	-18,00000	50,00000	15,00000	-57,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	1	1	de.bzus.flame.process.PauliFlame	26,00000	-11,00000	34,00000	-9,00000	 2034	3265	2	4	0,95320	0,95320	0,95320	169	175	146	132	211	218	259	248	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	202	175	169	193	146	140	149	132	247	224	211	218	259	283	269	248	23,00000	17,00000	3,00000	-28,00000	-9,00000	44,00000	43,00000	-53,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	1	2	de.bzus.flame.process.PauliFlame	5,00000	41,00000	17,00000	-17,00000	 2284	2524	2	4	0,75609	0,75609	0,75609	128	128	96	92	160	142	231	231	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	138	129	128	128	97	103	96	92	165	162	160	142	231	265	257	231	-16,00000	35,00000	21,00000	6,00000	-19,00000	16,00000	36,00000	-33,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	1	3	de.bzus.flame.process.PauliFlame	-12,00000	61,00000	8,00000	-3,00000	 3938	2721	2	4	0,07277	0,07277	0,07277	89	85	104	100	183	167	287	279	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	89	99	96	85	109	115	104	100	190	185	183	167	287	318	315	279	-35,00000	53,00000	23,00000	8,00000	-13,00000	22,00000	21,00000	-25,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	1	4	de.bzus.flame.process.PauliFlame	-14,00000	66,00000	8,00000	-2,00000	 4620	3162	2	4	0,05801	0,05801	0,05801	108	104	117	110	201	186	347	337	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	108	117	113	104	119	129	117	110	210	206	201	186	347	380	378	337	-36,00000	56,00000	22,00000	10,00000	-18,00000	28,00000	26,00000	-30,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	1	5	de.bzus.flame.process.PauliFlame	-14,00000	55,00000	10,00000	9,00000	 3402	3593	2	4	0,20149	0,20149	0,20149	123	119	132	127	220	208	398	392	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	123	134	127	119	134	144	132	127	238	231	220	208	398	433	433	392	-39,00000	56,00000	25,00000	-1,00000	-21,00000	35,00000	31,00000	-26,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	1	6	de.bzus.flame.process.PauliFlame	-19,00000	69,00000	1,00000	1,00000	 5124	4018	2	4	0,00156	0,00156	0,00156	121	119	135	136	248	227	474	468	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	121	138	135	119	140	152	135	136	255	252	248	227	474	509	509	468	-49,00000	60,00000	30,00000	9,00000	-20,00000	23,00000	21,00000	-22,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	1	7	de.bzus.flame.process.PauliFlame	-18,00000	70,00000	0,00000	0,00000	 5224	4660	2	4	0,00000	0,00000	0,00000	154	152	155	157	280	259	550	542	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	154	171	168	152	160	173	155	157	287	284	280	259	550	584	584	542	-48,00000	61,00000	30,00000	9,00000	-20,00000	23,00000	20,00000	-23,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
